Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2001,0.00,0.00,0.00,0.00,0.00,86.80,86.80,86.80,86.97,87.13,87.30,87.57
2002,87.83,88.10,88.37,88.63,88.90,89.53,90.17,90.80,91.00,91.20,91.40,91.40
2003,91.40,91.40,91.50,91.60,91.70,92.23,92.77,93.30,93.47,93.63,93.80,93.90
2004,94.00,94.10,94.13,94.17,94.20,94.73,95.27,95.80,96.03,96.27,96.50,96.67
2005,96.83,97.00,97.00,97.00,97.00,97.60,98.20,98.80,98.90,99.00,99.10,99.23
2006,99.37,99.50,99.67,99.83,100.00,100.63,101.27,101.90,102.10,102.30,102.50,102.63
2007,102.77,102.90,102.83,102.77,102.70,103.37,104.03,104.70,104.73,104.77,104.80,104.67
2008,104.53,104.40,104.47,104.53,104.60,105.40,106.20,107.00,107.13,107.27,107.40,107.47
2009,107.53,107.60,107.77,107.93,108.10,108.90,109.70,110.50,110.67,110.83,111.00,111.17
2010,111.33,111.50,111.50,111.50,111.50,112.23,112.97,113.70,113.77,113.83,113.90,114.10
2011,114.30,114.50,114.47,114.43,114.40,115.00,115.60,116.20,116.40,116.60,116.80,117.00
2012,117.20,117.40,117.37,117.33,117.30,118.07,118.83,119.60,119.70,119.80,119.90,120.13
2013,120.37,120.60,120.60,120.60,120.60,121.30,122.00,122.70,123.03,123.37,123.70,123.90
2014,124.10,124.30,124.33,124.37,124.40,125.27,126.13,127.00,127.13,127.27,127.40,127.53
2015,127.67,127.80,127.77,127.73,127.70,128.63,129.57,130.50,130.63,130.77,130.90,131.07
2016,131.23,131.40,131.37,131.33,131.30,132.07,132.83,133.60,133.80,134.00,134.20,134.30
2017,134.40,134.50,134.57,134.63,134.70,135.60,136.50,137.40,137.60,137.80,138.00,138.17
2018,138.33,138.50,138.47,138.43,138.40,139.30,140.20,141.10,141.13,141.17,141.20,141.20
2019,141.20,141.20,141.30,141.40,141.50,142.27,143.03,143.80,144.35,144.89,145.44,145.44
2020,145.44,145.44,145.54,145.64,145.75,146.53,147.32,148.11,148.68,149.24,149.80,149.80
2021,149.80,149.80,149.91,150.01,150.12,150.93,151.74,152.56,153.14,153.71,154.29,154.29
2022,154.29,154.29,154.40,154.51,154.62,155.46,156.30,157.13,157.73,158.33,158.92,158.92
2023,158.92,158.92,159.03,159.15,159.26,160.12,160.99,161.85,162.46,163.08,163.69,163.69
2024,163.69,163.69,163.81,163.92,164.04,164.93,165.81,166.70,167.34,167.97,168.60,168.60
2025,168.60,168.60,168.72,168.84,168.96,169.87,170.79,171.70,172.36,173.01,173.66,173.66
2026,173.66,173.66,173.78,173.90,174.03,174.97,175.91,176.86,177.53,178.20,178.87,178.87
2027,178.87,178.87,178.99,179.12,179.25,180.22,181.19,182.16,182.85,183.54,184.23,184.23
2028,184.23,184.23,184.36,184.49,184.63,185.63,186.63,187.63,188.34,189.05,189.76,189.76
2029,189.76,189.76,189.90,190.03,190.16,191.19,192.22,193.26,193.99,194.72,195.45,195.45
2030,195.45,195.45,195.59,195.73,195.87,196.93,197.99,199.05,199.81,200.56,201.32,201.32
