Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2001,0,0,0,0,0,86.8,86.8,86.8,86.97,87.13,87.3,87.57
2002,87.83,88.1,88.37,88.63,88.9,89.53,90.17,90.8,91,91.2,91.4,91.4
2003,91.4,91.4,91.5,91.6,91.7,92.23,92.77,93.3,93.47,93.63,93.8,93.9
2004,94,94.1,94.13,94.17,94.2,94.73,95.27,95.8,96.03,96.27,96.5,96.67
2005,96.83,97,97,97,97,97.6,98.2,98.8,98.9,99,99.1,99.23
2006,99.37,99.5,99.67,99.83,100,100.63,101.27,101.9,102.1,102.3,102.5,102.63
2007,102.77,102.9,102.83,102.77,102.7,103.37,104.03,104.7,104.73,104.77,104.8,104.67
2008,104.53,104.4,104.47,104.53,104.6,105.4,106.2,107,107.13,107.27,107.4,107.47
2009,107.53,107.6,107.77,107.93,108.1,108.9,109.7,110.5,110.67,110.83,111,111.17
2010,111.33,111.5,111.5,111.5,111.5,112.23,112.97,113.7,113.77,113.83,113.9,114.1
2011,114.3,114.5,114.47,114.43,114.4,115,115.6,116.2,116.4,116.6,116.8,117
2012,117.2,117.4,117.37,117.33,117.3,118.07,118.83,119.6,119.7,119.8,119.9,120.13
2013,120.37,120.6,120.6,120.6,120.6,121.3,122,122.7,123.03,123.37,123.7,123.9
2014,124.1,124.3,124.33,124.37,124.4,125.27,126.13,127,127.13,127.27,127.4,127.53
2015,127.67,127.8,127.77,127.73,127.7,128.63,129.57,130.5,130.63,130.77,130.9,131.07
2016,131.23,131.4,131.37,131.33,131.3,132.07,132.83,133.6,133.8,134,134.2,134.3
2017,134.4,134.5,134.57,134.63,134.7,135.6,136.5,137.4,137.6,137.8,138,138.17
2018,138.33,138.5,138.47,138.43,138.4,139.3,140.2,141.1,141.13,141.17,141.2,141.2
2019,141.2,141.2,141.3,141.4,141.5,142.27,143.03,143.8,144.35,144.89,145.44,145.44
2020,145.44,145.44,145.54,145.64,145.75,146.53,147.32,148.11,148.68,149.24,149.8,149.8
2021,149.8,149.8,149.91,150.01,150.12,150.93,151.74,152.56,153.14,153.71,154.29,154.29
2022,154.29,154.29,154.4,154.51,154.62,155.46,156.3,157.13,157.73,158.33,158.92,158.92
2023,158.92,158.92,159.03,159.15,159.26,160.12,160.99,161.85,162.46,163.08,163.69,163.69
2024,163.69,163.69,163.81,163.92,164.04,164.93,165.81,166.7,167.34,167.97,168.6,168.6
2025,168.6,168.6,168.72,168.84,168.96,169.87,170.79,171.7,172.36,173.01,173.66,173.66
2026,173.66,173.66,173.78,173.9,174.03,174.97,175.91,176.86,177.53,178.2,178.87,178.87
2027,178.87,178.87,178.99,179.12,179.25,180.22,181.19,182.16,182.85,183.54,184.23,184.23
2028,184.23,184.23,184.36,184.49,184.63,185.63,186.63,187.63,188.34,189.05,189.76,189.76
2029,189.76,189.76,189.9,190.03,190.16,191.19,192.22,193.26,193.99,194.72,195.45,195.45
2030,195.45,195.45,195.59,195.73,195.87,196.93,197.99,199.05,199.81,200.56,201.32,201.32
