Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2001,0.00,0.00,0.00,0.00,0.00,140.10,140.10,140.10,139.39,138.68,137.97,136.77
2002,135.57,134.37,133.04,131.70,130.37,130.14,129.90,129.67,130.57,131.47,132.37,132.59
2003,132.81,133.03,133.56,134.10,134.63,136.38,138.12,139.87,139.38,138.89,138.40,138.63
2004,138.87,139.10,139.12,139.15,139.17,140.37,141.57,142.77,143.91,145.06,146.20,147.09
2005,147.98,148.87,150.06,151.24,152.43,152.94,153.46,153.97,154.88,155.79,156.70,158.46
2006,160.21,161.97,164.06,166.14,168.23,167.74,167.26,166.77,167.85,168.92,170.00,170.32
2007,170.65,170.97,169.79,168.61,167.43,168.01,168.59,169.17,171.26,173.34,175.43,175.66
2008,175.90,176.13,177.35,178.58,179.80,181.82,183.85,185.87,190.34,194.80,199.27,200.85
2009,202.42,204.00,196.00,188.00,180.00,176.99,173.98,170.97,171.51,172.06,172.60,173.87
2010,175.13,176.40,177.41,178.42,179.43,181.15,182.88,184.60,185.36,186.11,186.87,186.91
2011,186.96,187.00,187.88,188.75,189.63,192.09,194.54,197.00,199.66,202.31,204.97,204.87
2012,204.77,204.67,203.62,202.58,201.53,202.01,202.49,202.97,202.79,202.61,202.43,202.23
2013,202.03,201.83,201.65,201.48,201.30,201.87,202.43,203.00,203.10,203.20,203.30,203.49
2014,203.68,203.87,203.20,202.54,201.87,203.00,204.14,205.27,205.76,206.24,206.73,206.50
2015,206.26,206.03,203.55,201.08,198.60,195.67,192.73,189.80,190.34,190.89,191.43,190.93
2016,190.43,189.93,188.01,186.09,184.17,182.86,181.54,180.23,181.51,182.79,184.07,184.89
2017,185.71,186.53,186.81,187.09,187.37,188.70,190.04,191.37,191.81,192.26,192.70,193.17
2018,193.63,194.10,194.90,195.70,196.50,197.60,198.70,199.80,201.14,202.49,203.83,204.69
2019,205.54,206.40,205.88,205.35,204.83,203.46,202.10,200.73,201.65,202.58,203.50,206.53
2020,209.56,212.59,212.05,211.51,210.97,209.57,208.16,206.75,207.70,208.65,209.61,212.73
2021,215.85,218.97,218.41,217.86,217.30,215.85,214.40,212.95,213.93,214.91,215.89,219.11
2022,222.32,225.54,224.97,224.40,223.82,222.33,220.84,219.34,220.35,221.36,222.37,225.68
2023,228.99,232.31,231.72,231.13,230.54,229.00,227.46,225.92,226.96,228.00,229.04,232.45
2024,235.86,239.27,238.67,238.06,237.45,235.87,234.29,232.70,233.77,234.84,235.91,239.43
2025,242.94,246.45,245.83,245.20,244.58,242.95,241.31,239.68,240.78,241.89,242.99,246.61
2026,250.23,253.85,253.20,252.56,251.92,250.23,248.55,246.87,248.01,249.14,250.28,254.01
2027,257.73,261.46,260.80,260.14,259.47,257.74,256.01,254.28,255.45,256.62,257.79,261.63
2028,265.47,269.31,268.62,267.94,267.26,265.47,263.69,261.91,263.11,264.32,265.52,269.48
2029,273.43,277.38,276.68,275.98,275.27,273.44,271.60,269.76,271.01,272.25,273.49,277.56
2030,281.63,285.71,284.98,284.26,283.53,281.64,279.75,277.86,279.14,280.41,281.69,285.89
