Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
2001,0,0,0,0,0,0,0,0,0,0,0,140.1
2002,140.1,140.1,139.39,138.68,137.97,136.77,135.57,134.37,133.04,131.7,130.37,130.14
2003,129.9,129.67,130.57,131.47,132.37,132.59,132.81,133.03,133.56,134.1,134.63,136.38
2004,138.12,139.87,139.38,138.89,138.4,138.63,138.87,139.1,139.12,139.15,139.17,140.37
2005,141.57,142.77,143.91,145.06,146.2,147.09,147.98,148.87,150.06,151.24,152.43,152.94
2006,153.46,153.97,154.88,155.79,156.7,158.46,160.21,161.97,164.06,166.14,168.23,167.74
2007,167.26,166.77,167.85,168.92,170,170.32,170.65,170.97,169.79,168.61,167.43,168.01
2008,168.59,169.17,171.26,173.34,175.43,175.66,175.9,176.13,177.35,178.58,179.8,181.82
2009,183.85,185.87,190.34,194.8,199.27,200.85,202.42,204,196,188,180,176.99
2010,173.98,170.97,171.51,172.06,172.6,173.87,175.13,176.4,177.41,178.42,179.43,181.15
2011,182.88,184.6,185.36,186.11,186.87,186.91,186.96,187,187.88,188.75,189.63,192.09
2012,194.54,197,199.66,202.31,204.97,204.87,204.77,204.67,203.62,202.58,201.53,202.01
2013,202.49,202.97,202.79,202.61,202.43,202.23,202.03,201.83,201.65,201.48,201.3,201.87
2014,202.43,203,203.1,203.2,203.3,203.49,203.68,203.87,203.2,202.54,201.87,203
2015,204.14,205.27,205.76,206.24,206.73,206.5,206.26,206.03,203.55,201.08,198.6,195.67
2016,192.73,189.8,190.34,190.89,191.43,190.93,190.43,189.93,188.01,186.09,184.17,182.86
2017,181.54,180.23,181.51,182.79,184.07,184.89,185.71,186.53,186.81,187.09,187.37,188.7
2018,190.04,191.37,191.81,192.26,192.7,193.17,193.63,194.1,194.9,195.7,196.5,197.6
2019,198.7,199.8,201.14,202.49,203.83,204.69,205.54,206.4,205.88,205.35,204.83,203.46
2020,202.1,200.73,201.65,202.58,203.5,206.53,209.56,212.59,212.05,211.51,210.97,209.57
2021,208.16,206.75,207.7,208.65,209.61,212.73,215.85,218.97,218.41,217.86,217.3,215.85
2022,214.4,212.95,213.93,214.91,215.89,219.11,222.32,225.54,224.97,224.4,223.82,222.33
2023,220.84,219.34,220.35,221.36,222.37,225.68,228.99,232.31,231.72,231.13,230.54,229
2024,227.46,225.92,226.96,228,229.04,232.45,235.86,239.27,238.67,238.06,237.45,235.87
2025,234.29,232.7,233.77,234.84,235.91,239.43,242.94,246.45,245.83,245.2,244.58,242.95
2026,241.31,239.68,240.78,241.89,242.99,246.61,250.23,253.85,253.2,252.56,251.92,250.23
2027,248.55,246.87,248.01,249.14,250.28,254.01,257.73,261.46,260.8,260.14,259.47,257.74
2028,256.01,254.28,255.45,256.62,257.79,261.63,265.47,269.31,268.62,267.94,267.26,265.47
2029,263.69,261.91,263.11,264.32,265.52,269.48,273.43,277.38,276.68,275.98,275.27,273.44
2030,271.6,269.76,271.01,272.25,273.49,277.56,281.63,285.71,284.98,284.26,283.53,281.64
