date,CFM56_7B24E,CFM56_7B26E,LEAP_1A26,LEAP_1B27,LEAP_1B25,Note,class
1/1/2012,9345636,10369956,12306921,12533533,11614900,Price with Escalation Cap,2012
1/2/2012,9341741.99,10365635.19,12196158.71,12519533.57,11601926.64,Price with Escalation Cap,2012
1/3/2012,9337847.97,10361314.37,12122317.19,12523088.39,11605220.92,Price with Escalation Cap,2012
1/4/2012,9333953.96,10356993.56,12060782.58,12517866.08,11600381.38,Price with Escalation Cap,2012
1/5/2012,9330059.94,10352672.74,11986941.05,12512643.78,11595541.83,Price with Escalation Cap,2012
1/6/2012,9326165.93,10348351.93,11974634.13,12507421.47,11590702.29,Price with Escalation Cap,2012
1/7/2012,9322271.91,10344031.11,11962327.21,12440631.32,11528807.46,Price with Escalation Cap,2012
1/8/2012,9318377.9,10339710.3,11950020.29,12371275.97,11464535.44,Price with Escalation Cap,2012
1/9/2012,9314483.88,10335389.48,11974634.13,12362228.85,11456151.42,Price with Escalation Cap,2012
1/10/2012,9310589.87,10331068.67,11999247.98,12354436.65,11448930.34,Price with Escalation Cap,2012
1/11/2012,9306695.85,10326747.85,12023861.82,12345383.78,11440540.99,Price with Escalation Cap,2012
1/12/2012,9302801.84,10322427.04,11962327.21,12328773.19,11425147.86,Price with Escalation Cap,2012
1/1/2013,9298907.82,10318106.22,11926637.14,12310893.59,11408578.72,Price with Escalation Cap,2013
1/2/2013,9295013.81,10313785.41,11926637.14,12293003.53,11391999.91,Price with Escalation Cap,2013
1/3/2013,9291119.79,10309464.59,11926637.14,12292752.34,11391767.12,Price with Escalation Cap,2013
1/4/2013,9287225.78,10305143.78,11926637.14,12289982.95,11389200.72,Price with Escalation Cap,2013
1/5/2013,9283331.76,10300822.96,11926637.14,12288477.36,11387805.48,Price with Escalation Cap,2013
1/6/2013,9279437.75,10296502.15,11926637.14,12223863.34,11327927.28,Price with Escalation Cap,2013
1/7/2013,9275543.73,10292181.33,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/8/2013,9271649.72,10287860.52,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/9/2013,9267755.7,10283539.7,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/10/2013,9263861.69,10279218.89,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/11/2013,9259967.67,10274898.07,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/12/2013,9256073.66,10270577.26,11926637.14,12146246.83,11255999.59,Price with Escalation Cap,2013
1/1/2014,9252179.64,10266256.44,11557546.73,12134628.25,11245232.58,Price with Escalation Cap,2014
1/2/2014,9248285.63,10261935.63,11528180.88,12134628.25,11245232.58,Price with Escalation Cap,2014
1/3/2014,9244391.61,10257614.81,11510561.37,12134628.25,11245232.58,Price with Escalation Cap,2014
1/4/2014,9240497.6,10253294,11498815.03,12134628.25,11245232.58,Price with Escalation Cap,2014
1/5/2014,9236603.58,10248973.18,11487068.69,12134628.25,11245232.58,Price with Escalation Cap,2014
1/6/2014,9232709.57,10244652.37,11481195.52,12134628.25,11245232.58,Price with Escalation Cap,2014
1/7/2014,9228815.55,10240331.55,11469449.18,11771589.06,10908801.99,Price with Escalation Cap,2014
1/8/2014,9224921.54,10236010.74,11463576.01,11728212.18,10868604.38,Price with Escalation Cap,2014
1/9/2014,9221027.52,10231689.92,11469449.18,11716007.24,10857293.99,Price with Escalation Cap,2014
1/10/2014,9217133.51,10227369.11,11475322.35,11704394.75,10846532.63,Price with Escalation Cap,2014
1/11/2014,9213239.49,10223048.29,11481195.52,11692174.27,10835207.83,Price with Escalation Cap,2014
1/12/2014,9209345.48,10218727.48,11440083.33,11687756.88,10831114.21,Price with Escalation Cap,2014
1/1/2015,9205451.46,10214406.66,11355877.4,11670769.77,10815372.16,Price with Escalation Cap,2015
1/2/2015,9201557.45,10210085.85,11314561.69,11666349.17,10811275.56,Price with Escalation Cap,2015
1/3/2015,9197663.43,10205765.03,11302757.2,11690201.64,10833379.79,Price with Escalation Cap,2015
1/4/2015,9193769.42,10201444.22,11296854.95,11714075.83,10855504.14,Price with Escalation Cap,2015
1/5/2015,9189875.4,10197123.4,11285050.46,11738573.8,10878206.56,Price with Escalation Cap,2015
1/6/2015,9185981.39,10192802.59,11285050.46,11734784.65,10874695.13,Price with Escalation Cap,2015
1/7/2015,9182087.37,10188481.77,11279148.21,11730994.51,10871182.78,Price with Escalation Cap,2015
1/8/2015,9178193.36,10184160.96,11279148.21,11727203.38,10867669.52,Price with Escalation Cap,2015
1/9/2015,9174299.34,10179840.14,11308659.44,11714968.34,10856331.23,Price with Escalation Cap,2015
1/10/2015,9170405.33,10175519.33,11332268.42,11701518.77,10843867.43,Price with Escalation Cap,2015
1/11/2015,9166511.31,10171198.51,11361779.65,11689267.43,10832514.05,Price with Escalation Cap,2015
1/12/2015,9162617.3,10166877.7,11355877.4,11686669.11,10830106.17,Price with Escalation Cap,2015
1/1/2016,9158723.28,10162556.88,11312431.15,11671140.59,10815715.79,Price with Escalation Cap,2016
1/2/2016,9154829.27,10158236.07,11312431.15,11667937.72,10812747.68,Price with Escalation Cap,2016
1/3/2016,9150935.25,10153915.25,11300568.51,11686498.06,10829947.65,Price with Escalation Cap,2016
1/4/2016,9147041.24,10149594.44,11288705.87,11704470.87,10846603.17,Price with Escalation Cap,2016
